1
60
1,8
1,11
1,12
1,2
2,5
2,8
2,10
2,3
3,5
3,11
3,12
3,4
4,10
4,16
5,12
5,17
5,6
6,11
6,13
6,7
7,12
7,13
8,13
8,17
8,9
9,16
9,18
9,21
10,16
10,19
10,21
11,14
11,18
12,17
12,22
13,16
13,22
13,25
14,17
14,19
14,15
15,18
15,19
15,20
16,22
16,27
16,32
17,20
17,23
17,29
18,21
18,27
19,21
19,27
19,32
20,22
20,23
20,27
21,26
21,28
22,28
22,34
23,26
23,31
23,24
24,27
24,29
24,32
25,31
25,37
25,39
26,29
26,33
27,34
27,38
27,43
28,31
28,34
29,33
29,37
29,30
30,34
30,36
31,35
31,40
32,38
32,42
33,38
33,41
34,39
34,40
35,42
35,44
36,38
36,41
37,39
37,40
37,46
38,43
38,47
38,53
39,46
39,49
39,53
40,45
40,50
40,51
41,48
41,52
41,54
42,47
42,51
43,47
43,49
44,47
44,52
45,49
45,55
46,50
46,54
47,53
47,54
48,53
48,59
49,56
49,58
49,60
50,55
50,58
51,56
51,57
52,54
52,59
52,60
53,55
53,60
54,56
54,60
55,58
55,60
56,58
56,60
57,59
57,58
58,59
58,60
59,60
