0; 19,23,24,132,169
1; 8,11,30,66,170,208
2; 12,20,25,107,113,151,155,168,190,198,202,210,230,239
3; 26,81,108,140,148,171,172,175,223,237
4; 10,27,57,72,76,86,111,173,176,186,194,196,215,219,228
5; 2,40,70,93,109,120,136,145,229,232,251,258,265
6; 16,48,105,116,157
7; 14,53,74,103,164,181,193,199,249
8; 7,58,92,177
9; 4,94,225
10; 142,174
11; 37,117
12; 56,90,125,134,144,159,167,203,221,242,243
13; 22,75,129,137,147,150,161,204
14; 55,59,82,112,128,220,222,224,245,253
15; 0,29,43,185,234,235,244
16; 1,77
17; 91,143,184,263
18; 3,28,31,45,98,114,138,149,165,207,226,238,259
19; 36,38,42,50,52,73,156,163,200,211,218,241
20; 87,248
21; 88,152,216
22; 34,61,96,212,233
23; 6,17,44,62,71,124,135,160,166,188,191,209,214,260,269
24; 33,41,46,67,68,89,101,131,146,178,189,192,205,240,250
25; 18,21,32,47,49,102,123,133,141,153,154,158,206,266,268
26; 39,51,119,121,139,255,256
27; 15
28; 197,213,261
29; 13,60,65,79,106,115,118,180,182,195,201,236,264
30;
